pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,OT_Codigo,OT_Votos,OT_PVotos
"02","094","999",45,44,9.77799988e+01,10008,9.93099976e+01,9238,9.23099976e+01,770,7.69000006e+00,45,4.49999988e-01,25,2.50000000e-01,13526,10078,7.45100021e+01,,0,,7.64899979e+01,"9997",200,2.16000009e+00
"02","095","999",44,44,1.00000000e+02,10449,9.96399994e+01,9545,9.13499985e+01,904,8.64999962e+00,37,3.49999994e-01,1,9.99999978e-03,13892,10487,7.54899979e+01,,0,,7.54899979e+01,"9997",219,2.28999996e+00
"02","096","999",63,62,9.84100037e+01,14954,9.85800018e+01,14035,9.38499985e+01,919,6.15000010e+00,203,1.34000003e+00,12,7.99999982e-02,20252,15169,7.49000015e+01,,0,,7.62200012e+01,"9997",477,3.40000010e+00
"02","097","999",33,33,1.00000000e+02,8211,9.91100006e+01,7776,9.46999969e+01,435,5.30000019e+00,63,7.59999990e-01,11,1.29999995e-01,10570,8285,7.83799973e+01,,0,,7.83799973e+01,"9997",144,1.85000002e+00
"02","098","999",55,55,1.00000000e+02,13026,9.79100037e+01,12510,9.60400009e+01,516,3.96000004e+00,272,2.03999996e+00,6,5.00000007e-02,18072,13304,7.36200027e+01,,0,,7.36200027e+01,"9997",332,2.65000010e+00
"02","099","999",84,83,9.88099976e+01,19962,9.88799973e+01,18830,9.43300018e+01,1132,5.67000008e+00,212,1.04999995e+00,14,7.00000003e-02,27496,20188,7.34199982e+01,,0,,7.43700027e+01,"9997",378,2.00999999e+00
"02","100","999",23,23,1.00000000e+02,5824,9.96200027e+01,4832,8.29700012e+01,992,1.70300007e+01,16,2.70000011e-01,6,1.00000001e-01,7716,5846,7.57600021e+01,,0,,7.57600021e+01,"9997",91,1.88000000e+00
"02","101","999",84,83,9.88099976e+01,20383,9.92399979e+01,18455,9.05400009e+01,1928,9.46000004e+00,128,6.20000005e-01,29,1.40000001e-01,28268,20540,7.26600037e+01,,0,,7.35699997e+01,"9997",544,2.95000005e+00
"02","102","999",59,57,9.66100006e+01,14737,9.93300018e+01,13382,9.08099976e+01,1355,9.18999958e+00,66,4.39999998e-01,33,2.19999999e-01,19068,14836,7.78099976e+01,,0,,7.89100037e+01,"9997",581,4.34000015e+00
"02","103","999",59,54,9.15299988e+01,14186,9.88700027e+01,13641,9.61600037e+01,545,3.83999991e+00,140,9.80000019e-01,22,1.50000006e-01,19572,14348,7.33099976e+01,,0,,7.93799973e+01,"9997",289,2.11999989e+00
