vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_parCodigo,ordenPartidos,votVotosPartido,votPorcenVotos,votCandidatos
"01","010","999","0187",6,4542,3.99000001e+00,0
"01","010","999","0262",13,246,2.19999999e-01,0
"01","010","999","0327",12,279,2.50000000e-01,0
"01","010","999","0503",5,5004,4.40000010e+00,0
"01","010","999","0515",4,5332,4.67999983e+00,0
"01","010","999","0525",7,1174,1.02999997e+00,0
"01","010","999","0531",3,16547,1.45400000e+01,0
"01","010","999","0567",8,1126,9.90000010e-01,0
"01","010","999","0576",2,24078,2.11499996e+01,0
"01","010","999","0580",1,51767,4.54799995e+01,0
"01","010","999","0806",14,225,2.00000003e-01,0
"01","011","999","0008",16,88,7.00000003e-02,0
"01","011","999","0022",9,654,4.90000010e-01,0
"01","011","999","0079",11,364,2.70000011e-01,0
"01","011","999","0178",15,160,1.19999997e-01,0
"01","011","999","0185",10,368,2.80000001e-01,0
"01","011","999","0187",6,5329,3.99000001e+00,0
"01","011","999","0262",12,307,2.30000004e-01,0
"01","011","999","0327",13,292,2.19999999e-01,0
"01","011","999","0503",5,5564,4.17000008e+00,0
"01","011","999","0515",4,5571,4.17999983e+00,0
"01","011","999","0525",7,1381,1.03999996e+00,0
"01","011","999","0531",3,19283,1.44499998e+01,0
"01","011","999","0567",8,1062,8.00000012e-01,0
"01","011","999","0576",2,26002,1.94899998e+01,0
"01","011","999","0580",1,64736,4.85299988e+01,0
"01","011","999","0806",14,233,1.70000002e-01,0
"01","012","999","0008",16,121,7.99999982e-02,0
"01","012","999","0022",9,703,4.90000010e-01,0
"01","012","999","0079",11,400,2.80000001e-01,0
"01","012","999","0178",15,196,1.40000001e-01,0
"01","012","999","0185",10,529,3.70000005e-01,0
"01","012","999","0187",6,5381,3.75000000e+00,0
"01","012","999","0262",12,373,2.59999990e-01,0
"01","012","999","0327",14,284,2.00000003e-01,0
"01","012","999","0503",4,6209,4.32000017e+00,0
"01","012","999","0515",5,5624,3.91000009e+00,0
"01","012","999","0525",7,1360,9.49999988e-01,0
"01","012","999","0531",3,20279,1.41099997e+01,0
"01","012","999","0567",8,1179,8.19999993e-01,0
"01","012","999","0576",2,27584,1.92000008e+01,0
"01","012","999","0580",1,70916,4.93600006e+01,0
"01","012","999","0806",13,322,2.19999999e-01,0
"01","013","999","0008",16,81,5.00000007e-02,0
"01","013","999","0022",9,620,3.79999995e-01,0
"01","013","999","0079",12,344,2.09999993e-01,0
"01","013","999","0178",15,233,1.40000001e-01,0
"01","013","999","0185",11,423,2.59999990e-01,0
"01","013","999","0187",5,4693,2.88000011e+00,0
"01","013","999","0262",10,533,3.30000013e-01,0
"01","013","999","0327",14,282,1.70000002e-01,0
"01","013","999","0503",4,5987,3.68000007e+00,0
"01","013","999","0515",6,4540,2.78999996e+00,0
"01","013","999","0525",7,1628,1.00000000e+00,0
"01","013","999","0531",3,19954,1.22600002e+01,0
"01","013","999","0567",8,909,5.60000002e-01,0
"01","013","999","0576",2,22813,1.40100002e+01,0
"01","013","999","0580",1,97159,5.96800003e+01,0
"01","013","999","0806",13,320,2.00000003e-01,0
"01","014","999","0008",16,71,5.00000007e-02,0
"01","014","999","0022",9,658,4.30000007e-01,0
"01","014","999","0079",13,303,2.00000003e-01,0
"01","014","999","0178",14,214,1.40000001e-01,0
"01","014","999","0185",11,372,2.39999995e-01,0
"01","014","999","0187",5,4181,2.73000002e+00,0
"01","014","999","0262",10,455,3.00000012e-01,0
"01","014","999","0327",15,212,1.40000001e-01,0
"01","014","999","0503",4,5427,3.53999996e+00,0
"01","014","999","0515",6,4100,2.68000007e+00,0
"01","014","999","0525",7,1323,8.60000014e-01,0
"01","014","999","0531",3,18119,1.18299999e+01,0
"01","014","999","0567",8,850,5.60000002e-01,0
"01","014","999","0576",2,22546,1.47200003e+01,0
"01","014","999","0580",1,91833,5.99700012e+01,0
"01","014","999","0806",12,309,2.00000003e-01,0
"01","015","999","0008",16,96,7.99999982e-02,0
"01","015","999","0022",9,694,5.60000002e-01,0
"01","015","999","0079",11,370,3.00000012e-01,0
"01","015","999","0178",15,165,1.29999995e-01,0
"01","015","999","0185",10,390,3.19999993e-01,0
"01","015","999","0187",5,6191,5.00000000e+00,0
"01","015","999","0262",12,293,2.39999995e-01,0
"01","015","999","0327",14,215,1.70000002e-01,0
"01","015","999","0503",4,6991,5.65000010e+00,0
"01","015","999","0515",6,4575,3.70000005e+00,0
"01","015","999","0525",7,1597,1.28999996e+00,0
"01","015","999","0531",3,17437,1.40900002e+01,0
"01","015","999","0567",8,1014,8.19999993e-01,0
"01","015","999","0576",2,28501,2.30300007e+01,0
"01","015","999","0580",1,52937,4.27700005e+01,0
"01","015","999","0806",13,288,2.30000004e-01,0
"01","999","999","0008",16,1526,7.99999982e-02,0
"01","999","999","0022",9,9299,5.00000000e-01,0
"01","999","999","0079",10,6021,3.19999993e-01,0
"01","999","999","0178",15,3046,1.59999996e-01,0
"01","999","999","0185",11,5514,2.89999992e-01,0
"01","999","999","0187",6,64382,3.43000007e+00,0
"01","999","999","0262",12,5431,2.89999992e-01,0
"01","999","999","0327",14,4289,2.30000004e-01,0
"01","999","999","0503",4,82225,4.38000011e+00,0
"01","999","999","0515",5,71599,3.81999993e+00,0
"01","999","999","0525",7,22280,1.19000006e+00,0
"01","999","999","0531",3,249929,1.33199997e+01,0
"01","999","999","0567",8,15529,8.29999983e-01,0
"01","999","999","0576",2,382397,2.03799992e+01,0
